City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Chokurdakh,RU,70.6333,147.9167,41.05,88,100,4.54,overcast clouds
130,Cidreira,BR,-30.1811,-50.2056,53.56,65,0,10.69,clear sky
131,Mendi,PG,-6.1761,143.6513,62.11,81,100,1.79,overcast clouds
132,East London,ZA,-33.0153,27.9116,67.77,72,98,4.07,overcast clouds
133,Sao Filipe,CV,14.8961,-24.4956,79.47,83,48,4.88,scattered clouds
134,Urengoy,RU,65.9667,78.3667,38.46,94,98,3.69,light rain
135,Samarai,PG,-10.6167,150.6667,80.15,83,18,9.78,few clouds
136,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,79,7,7.14,clear sky
137,Nouadhibou,MR,20.931,-17.0347,72.81,86,6,26.57,clear sky
138,Date,JP,42.4681,140.8681,67.51,70,20,9.89,few clouds
139,Brae,GB,60.3964,-1.353,49.96,83,48,2.04,scattered clouds
140,Port Blair,IN,11.6667,92.75,80.47,82,64,12.48,broken clouds
141,Bulle,CH,46.6195,7.0567,61.25,72,70,1.01,broken clouds
142,Palmas,BR,-10.2128,-48.3603,87.67,35,0,0.0,clear sky
143,Atuona,PF,-9.8,-139.0333,77.02,73,5,19.53,clear sky
144,Voh,NC,-20.9667,164.7,80.8,69,0,2.51,clear sky
145,Ambulu,ID,-8.345,113.6058,73.9,92,99,2.15,overcast clouds
146,Acarau,BR,-2.8856,-40.12,78.01,78,1,14.12,clear sky
147,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.2,19,4,0.56,clear sky
148,Tuatapere,NZ,-46.1333,167.6833,51.03,61,2,3.76,clear sky
149,Creel,MX,27.75,-107.6333,70.52,48,22,7.25,few clouds
150,Okhotsk,RU,59.3833,143.3,51.13,54,0,20.2,clear sky
151,Port Alfred,ZA,-33.5906,26.891,61.18,94,99,4.0,overcast clouds
152,Mahebourg,MU,-20.4081,57.7,70.09,73,75,6.91,broken clouds
153,Hermon,US,44.8101,-68.9134,81.0,70,20,3.44,few clouds
154,Rawson,AR,-43.3002,-65.1023,56.07,42,0,9.31,clear sky
155,Den Helder,NL,52.9599,4.7593,64.38,83,40,7.0,scattered clouds
156,Leningradskiy,RU,69.3833,178.4167,40.24,81,79,11.68,broken clouds
157,Codrington,AU,-38.2667,141.9667,50.59,85,100,12.86,overcast clouds
158,Sambava,MG,-14.2667,50.1667,66.9,89,28,9.51,scattered clouds
159,Carutapera,BR,-1.195,-46.02,78.76,78,37,7.9,scattered clouds
160,Srednekolymsk,RU,67.45,153.6833,42.8,94,100,4.68,light rain
161,Bonavista,CA,48.6499,-53.1147,56.77,84,100,30.24,overcast clouds
162,Faanui,PF,-16.4833,-151.75,78.55,73,4,18.52,clear sky
163,Marsabit,KE,2.3284,37.9899,63.97,71,25,21.74,scattered clouds
164,Darhan,MN,49.4867,105.9228,47.25,87,41,2.33,scattered clouds
165,Margate,GB,51.3813,1.3862,62.69,93,10,1.99,clear sky
166,Mayumba,GA,-3.432,10.6554,73.89,88,100,8.59,overcast clouds
167,Clonakilty,IE,51.6231,-8.8706,60.1,94,100,10.98,overcast clouds
168,Victoria,HK,22.2855,114.1577,84.18,84,20,3.0,few clouds
169,Barrow,US,71.2906,-156.7887,37.42,93,100,17.27,mist
170,Karakol,KG,42.4907,78.3936,57.65,35,6,3.67,clear sky
171,Bethel,US,41.3712,-73.414,80.47,58,30,3.0,scattered clouds
172,Touros,BR,-5.1989,-35.4608,76.84,75,0,17.6,clear sky
173,Hithadhoo,MV,-0.6,73.0833,81.25,73,51,13.67,broken clouds
174,Jardim,BR,-21.4803,-56.1381,75.97,48,3,6.58,clear sky
175,Severo-Kurilsk,RU,50.6789,156.125,56.8,73,11,12.59,few clouds
176,Manavalakurichi,IN,8.1333,77.3,77.07,87,100,15.1,overcast clouds
177,Tateyama,JP,34.9833,139.8667,75.09,81,85,21.52,overcast clouds
178,Necochea,AR,-38.5473,-58.7368,45.1,63,0,7.0,clear sky
179,Castro,BR,-24.7911,-50.0119,61.52,98,3,6.6,clear sky
180,Kodiak,US,57.79,-152.4072,54.91,76,100,4.61,overcast clouds
181,Talcahuano,CL,-36.7167,-73.1167,55.08,76,0,8.05,clear sky
182,Kuandian,CN,40.7286,124.7847,66.07,81,74,1.57,broken clouds
183,Vostok,RU,46.4856,135.8833,62.4,62,0,0.72,clear sky
184,Rudnogorsk,RU,57.2639,103.7519,37.17,90,29,2.08,scattered clouds
185,Constitucion,CL,-35.3333,-72.4167,48.99,78,0,2.39,clear sky
186,Faya,SA,18.3851,42.4509,69.91,35,92,3.53,overcast clouds
187,Kadayanallur,IN,9.0833,77.35,74.82,86,100,9.37,overcast clouds
188,Saint-Leu,RE,-21.15,55.2833,70.32,71,41,2.08,scattered clouds
189,Elk City,US,35.412,-99.4043,82.38,47,20,14.97,few clouds
190,Grindavik,IS,63.8424,-22.4338,51.75,93,75,16.11,broken clouds
191,Buala,SB,-8.145,159.5921,84.31,67,23,10.65,few clouds
192,Jalu,LY,29.0331,21.5482,81.14,24,0,7.83,clear sky
193,Vardo,NO,70.3705,31.1107,48.18,81,100,13.8,overcast clouds
194,Valera,VE,9.3178,-70.6036,75.65,87,85,3.87,overcast clouds
195,Katsuura,JP,35.1333,140.3,74.5,85,100,20.8,overcast clouds
196,Villablino,ES,42.9393,-6.3194,66.76,70,23,1.57,few clouds
197,Norman Wells,CA,65.282,-126.8329,51.84,76,75,8.05,broken clouds
198,Torbay,CA,47.6666,-52.7314,57.58,92,100,32.01,light rain
199,Sinnar,SD,13.5691,33.5672,76.05,83,100,15.5,overcast clouds
200,Port Lincoln,AU,-34.7333,135.8667,51.78,76,86,6.08,overcast clouds
201,Tilichiki,RU,60.4667,166.1,51.87,81,97,5.5,overcast clouds
202,Kisangani,CD,0.5167,25.2,69.67,98,64,0.94,broken clouds
203,Izvestkovyy,RU,48.9833,131.55,58.93,89,51,1.34,broken clouds
204,Sitka,US,57.0531,-135.33,58.89,67,40,8.05,scattered clouds
205,Kavieng,PG,-2.5744,150.7967,82.29,77,40,13.69,light rain
206,Isangel,VU,-19.55,169.2667,82.51,78,40,2.3,scattered clouds
207,Almeria,ES,37.1667,-2.3333,67.77,62,13,1.52,few clouds
208,Kalabo,ZM,-14.97,22.6814,63.63,27,0,4.65,clear sky
209,San Cristobal,VE,7.7669,-72.225,84.38,91,57,4.41,broken clouds
210,Lethem,GY,3.3803,-59.7968,82.24,67,84,3.65,broken clouds
211,Saint-Joseph,RE,-21.3667,55.6167,66.58,72,54,7.18,broken clouds
212,Lompoc,US,34.6391,-120.4579,84.85,67,40,9.22,scattered clouds
213,Sibolga,ID,1.7427,98.7792,75.6,83,97,3.44,overcast clouds
214,Mandali,IQ,33.7499,45.5541,92.97,11,0,13.29,clear sky
215,Viedma,AR,-40.8135,-62.9967,51.93,41,0,9.17,clear sky
216,Mount Isa,AU,-20.7333,139.5,71.37,24,5,9.22,clear sky
217,Namibe,AO,-15.1961,12.1522,64.89,92,65,4.79,broken clouds
218,Narsaq,GL,60.9167,-46.05,48.42,69,65,3.04,broken clouds
219,Bacolod,PH,10.6667,122.95,79.03,84,60,6.71,broken clouds
220,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,6.91,broken clouds
221,Rio Pardo De Minas,BR,-15.6097,-42.5397,69.87,23,3,4.14,clear sky
222,Labuhan,ID,-6.8844,112.2051,76.73,87,88,6.02,overcast clouds
223,Nyurba,RU,63.2842,118.3319,34.02,83,22,5.93,few clouds
224,Kapit,MY,2.0167,112.9333,72.66,99,100,0.87,moderate rain
225,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.17,83,41,10.49,scattered clouds
226,Coralville,US,41.6764,-91.5805,66.09,82,100,14.97,overcast clouds
227,Kulhudhuffushi,MV,6.6221,73.07,80.13,81,94,16.82,overcast clouds
228,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.95,39,0,9.22,clear sky
229,Liling,CN,27.6667,113.5,74.95,68,99,1.9,overcast clouds
230,Ponta Do Sol,PT,32.6667,-17.1,77.0,84,97,5.14,overcast clouds
231,Olafsvik,IS,64.8945,-23.7142,49.17,84,69,15.75,broken clouds
232,Ciudad Bolivar,VE,8.1222,-63.5497,83.41,62,58,8.19,broken clouds
233,Yar-Sale,RU,66.8333,70.8333,39.97,83,100,5.19,overcast clouds
234,Oranjemund,NA,-28.55,16.4333,55.06,94,66,6.8,broken clouds
235,Lerwick,GB,60.1545,-1.1494,44.6,81,54,1.97,broken clouds
236,Great Falls,US,47.5002,-111.3008,75.16,18,0,5.75,clear sky
237,Yerbogachen,RU,61.2767,108.0108,37.49,96,88,4.81,overcast clouds
238,Tiksi,RU,71.6872,128.8694,37.99,88,100,7.9,overcast clouds
239,Baruun-Urt,MN,46.6806,113.2792,63.9,32,83,6.46,broken clouds
240,Ascension,US,30.2169,-90.9001,88.07,64,0,0.0,clear sky
241,Fairbanks,US,64.8378,-147.7164,53.1,79,100,13.8,overcast clouds
242,Ulladulla,AU,-35.35,150.4667,51.76,66,2,4.25,clear sky
243,Ginir,ET,7.1333,40.7,60.6,70,77,7.47,broken clouds
244,Talnakh,RU,69.4865,88.3972,36.21,99,100,9.28,light rain
245,Basoko,CD,1.2391,23.616,69.84,97,99,2.15,moderate rain
246,Senador Jose Porfirio,BR,-2.5908,-51.9542,83.08,57,55,4.03,broken clouds
247,Lodja,CD,-3.4833,23.4333,69.37,95,25,1.03,scattered clouds
248,Can Tho,VN,10.0333,105.7833,75.18,100,40,2.3,scattered clouds
249,Halifax,CA,44.6453,-63.5724,71.6,60,0,17.27,clear sky
250,Portland,US,45.5234,-122.6762,97.95,13,100,17.27,smoke
251,Pisco,PE,-13.7,-76.2167,64.45,72,0,18.41,clear sky
252,Saint Anthony,US,45.0205,-93.218,73.02,44,0,12.66,clear sky
253,Zambezi,ZM,-13.5432,23.1047,63.34,26,1,6.04,clear sky
254,Afua,BR,-0.1567,-50.3867,77.07,90,74,7.11,broken clouds
255,Kristiinankaupunki,FI,62.2743,21.376,47.07,80,23,6.11,few clouds
256,Hasaki,JP,35.7333,140.8333,73.8,84,100,22.77,overcast clouds
257,Tayu,ID,-6.5397,111.0518,77.05,83,78,4.76,broken clouds
258,Golden,US,39.7555,-105.2211,53.47,93,100,5.01,light intensity drizzle
259,Dunedin,NZ,-45.8742,170.5036,52.81,75,29,3.0,scattered clouds
260,Salalah,OM,17.0151,54.0924,78.89,89,75,6.91,broken clouds
261,Belmonte,BR,-15.8631,-38.8828,70.5,71,2,7.38,clear sky
262,Akdepe,TM,42.0551,59.3788,55.49,32,0,7.52,clear sky
263,Plastun,RU,44.7561,136.2939,63.99,66,42,1.5,scattered clouds
264,Kitimat,CA,54.0524,-128.6534,73.9,54,7,0.72,clear sky
265,Banda Aceh,ID,5.5577,95.3222,79.14,79,100,9.62,overcast clouds
266,Tranas,SE,58.0372,14.9782,51.39,98,100,4.83,overcast clouds
267,Te Anau,NZ,-45.4167,167.7167,47.93,60,14,0.69,few clouds
268,Inhambane,MZ,-23.865,35.3833,67.66,88,0,10.94,clear sky
269,Algiers,DZ,36.7525,3.042,71.42,78,0,3.44,clear sky
270,Puhja,EE,58.3419,26.3147,44.11,87,8,5.75,clear sky
271,Mount Gambier,AU,-37.8333,140.7667,49.73,88,100,8.86,overcast clouds
272,Jaguey Grande,CU,22.5269,-81.1286,80.26,83,72,2.42,broken clouds
273,Koungou,YT,-12.7336,45.2042,71.31,94,0,4.61,clear sky
274,Salym,RU,60.0625,71.4789,42.37,92,100,3.04,light rain
275,Matara,LK,5.9485,80.5353,76.69,89,92,11.14,overcast clouds
276,Guaraniacu,BR,-25.1008,-52.8781,57.27,70,39,5.48,scattered clouds
277,Vaitape,PF,-16.5167,-151.75,78.57,73,4,18.54,clear sky
278,Tulsipur,NP,28.131,82.2973,74.43,75,66,3.49,broken clouds
279,Boa Vista,BR,2.8197,-60.6733,85.98,64,40,10.36,scattered clouds
280,Tenenkou,ML,14.4572,-4.9169,82.42,65,96,5.26,overcast clouds
281,Tuy Hoa,VN,13.0833,109.3,76.95,88,62,3.65,broken clouds
282,Auki,SB,-8.7676,160.7034,82.89,68,15,2.57,few clouds
283,Sindor,RU,62.8629,51.8905,41.5,98,99,3.96,overcast clouds
284,Tambacounda,SN,13.7539,-13.7586,75.36,93,97,5.57,overcast clouds
285,La Asuncion,VE,11.0333,-63.8628,87.53,70,44,16.11,scattered clouds
286,Cayenne,GF,4.9333,-52.3333,80.64,83,0,3.44,clear sky
287,Pacific Grove,US,36.6177,-121.9166,78.35,78,20,6.91,haze
288,Ahmadpur East,PK,29.1431,71.2598,89.56,47,0,7.94,clear sky
289,Batalha,BR,-9.6778,-37.1247,69.78,93,45,4.81,scattered clouds
290,Smithers,CA,54.7804,-127.1743,66.52,45,20,5.75,few clouds
291,Olutanga,PH,7.3106,122.8464,81.45,74,90,4.36,overcast clouds
292,Laurel,US,39.0993,-76.8483,79.88,72,0,4.61,clear sky
293,Khatanga,RU,71.9667,102.5,30.51,95,100,8.14,overcast clouds
294,Conde,BR,-7.2597,-34.9075,72.86,94,75,6.91,broken clouds
295,Fare,PF,-16.7,-151.0167,78.44,73,0,19.84,clear sky
296,Mbanza-Ngungu,CD,-5.25,14.8667,72.0,68,52,8.28,broken clouds
297,Zavodouspenskoye,RU,56.8626,65.0155,41.49,85,81,4.79,broken clouds
298,Abha,SA,18.2164,42.5053,69.62,21,0,5.75,clear sky
299,Takoradi,GH,4.8845,-1.7554,73.76,90,60,8.32,broken clouds
300,Ostersund,SE,63.1792,14.6357,46.85,100,100,5.99,overcast clouds
301,Lusaka,ZM,-15.4067,28.2871,64.56,31,0,5.01,clear sky
302,Mana,GF,5.6592,-53.7767,80.26,79,87,9.17,overcast clouds
303,Meulaboh,ID,4.1363,96.1285,75.2,88,78,4.12,broken clouds
304,Zanzibar,TZ,-6.1639,39.1979,71.65,88,51,4.79,broken clouds
305,Ossora,RU,59.2353,163.0719,53.1,66,84,3.38,broken clouds
306,Fallon,US,39.4735,-118.7774,92.91,8,75,5.75,smoke
307,Kadoma,JP,34.7333,135.5833,80.6,73,40,3.44,scattered clouds
308,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,88,40,11.5,scattered clouds
309,Alihe,CN,50.5667,123.7167,59.38,84,92,3.36,overcast clouds
310,Wajima,JP,37.4,136.9,76.41,76,68,3.58,broken clouds
