City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Ayutthaya,TH,81.01,overcast clouds,14.2833,100.5,Bann Thai Kae Ook
339,Owensboro,US,82.38,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
343,Hirara,JP,82.67,moderate rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
345,Fortuna,US,81.93,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
349,Alta Floresta,BR,85.35,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
350,Son Tay,VN,78.73,overcast clouds,21.1378,105.505,Khách Sạn Đông Thành
351,Sabang,ID,81.57,overcast clouds,5.8933,95.3214,Hotel Citra
353,Acajutla,SV,80.71,broken clouds,13.5928,-89.8275,Laureles
356,Taos,US,79.2,broken clouds,36.4072,-105.5731,El Monte Sagrado
357,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
361,Bud,US,84.15,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
364,Bourail,NC,78.84,clear sky,-21.5667,165.4833,Motel Allamanda
366,Dinhata,IN,79.27,overcast clouds,26.1333,89.4667,Hotel NGS
367,Dwarka,IN,79.27,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
376,Progreso,MX,79.11,broken clouds,21.2833,-89.6667,Playa Linda Hotel
379,Nabire,ID,77.97,moderate rain,-3.3667,135.4833,Hotel Nusantara I
381,Xiangxiang,CN,75.02,overcast clouds,27.7333,112.5333,Huatai International Hotel
383,Half Moon Bay,US,84.42,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
385,Dingle,PH,77.47,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
386,Beruwala,LK,77.22,overcast clouds,6.4788,79.9828,The Palms Hotel
387,Ambunti,PG,77.95,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
388,Caramay,PH,78.85,light rain,10.1815,119.236,Peace and Love Beach Club
390,Laguna,US,89.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
393,Ternate,ID,79.45,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
396,Sumenep,ID,79.5,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
398,Lingao,CN,77.49,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
401,Cancun,MX,78.73,overcast clouds,21.1743,-86.8466,Hotel Tankah Cancun
407,Shenjiamen,CN,76.59,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
411,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
413,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
414,Batesville,US,82.81,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
415,Monrovia,LR,76.26,light rain,6.3005,-10.7969,Sunset Inn
420,Bocaiuva,BR,83.91,clear sky,-17.1078,-43.815,Hotel Maxim's
422,Jaguaribe,BR,86.2,scattered clouds,-5.8906,-38.6219,Hotel Pinheiro
430,Hatillo,PR,85.08,scattered clouds,18.4863,-66.8254,El Buen Hotel
433,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
434,Ashqelon,IL,76.89,clear sky,31.6693,34.5715,Leonardo Ashkelon
435,Prescott,US,83.95,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
438,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
439,Mareeba,AU,77.49,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
444,Noumea,NC,80.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
445,North Bay,CA,79.95,broken clouds,46.3168,-79.4663,"Holiday Inn Express & Suites North Bay, an IHG Hotel"
446,Tooele,US,81.23,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
448,Kloulklubed,PW,77.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
449,Fukue,JP,77.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
457,Camara De Lobos,PT,77.0,scattered clouds,32.6333,-16.9667,Golden Residence Hotel
458,Chattanooga,US,75.15,overcast clouds,35.0456,-85.3097,The Read House
462,Urucara,BR,88.79,few clouds,-2.5364,-57.76,Pousada Maria Bonita
465,Russell,US,79.97,few clouds,32.3502,-85.1999,Macs
468,Daru,PG,80.42,broken clouds,-9.0763,143.2092,Daru Lodge
472,Eureka,US,82.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
473,Codajas,BR,85.51,broken clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
474,Dakar,SN,82.51,broken clouds,14.6937,-17.4441,Novotel Dakar
475,Aloleng,PH,81.68,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
479,Cullman,US,79.81,broken clouds,34.1748,-86.8436,Best Western Fairwinds Inn
481,Sawakin,SD,86.23,scattered clouds,19.1059,37.3321,فندق الدويم
482,Jucurutu,BR,80.82,few clouds,-6.0339,-37.0203,Pousada Miike
485,Manokwari,ID,80.2,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
491,Tabas,IR,81.03,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
493,Biak,ID,75.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
494,Santa Clara,CU,83.86,broken clouds,22.4,-79.9667,El Carmen
497,El Tigre,VE,83.17,broken clouds,8.8875,-64.2454,Hotel Santa Cruz
502,Ucluelet,CA,75.51,clear sky,48.9329,-125.5528,Black Rock Oceanfront Resort
511,Port Keats,AU,81.1,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
516,Shingu,JP,79.43,broken clouds,33.7333,135.9833,Shingu UI Hotel
517,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
520,Sylvan Lake,CA,78.37,haze,52.3168,-114.0853,Best Western Plus Chateau Inn Sylvan Lake
523,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
539,Hue,VN,77.11,few clouds,16.4667,107.6,Saigon Morin Hotel
543,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
548,El Vendrell,ES,79.79,few clouds,41.2167,1.5333,Le Méridien Ra Beach Hotel & Spa
551,Ugoofaaru,MV,80.29,overcast clouds,5.6667,73.0,Ungoofaaru Inn
553,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Hanoi Golden Hotel
554,Flagstaff,US,78.46,thunderstorm,35.1981,-111.6513,Drury Inn & Suites Flagstaff
559,Vanimo,PG,79.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
560,Wewak,PG,80.08,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
561,Pasni,PK,82.26,overcast clouds,25.2631,63.471,Kashmiri Hotal
565,Lazaro Cardenas,MX,82.54,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
566,Pundaguitan,PH,81.97,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
567,Guerrero Negro,MX,85.91,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
570,Itarema,BR,77.86,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
575,Gigmoto,PH,80.96,overcast clouds,13.7796,124.39,Cj's Travellers Inn
579,Atkinson,US,78.85,broken clouds,42.8384,-71.147,Atkinson Resort & Country Club
581,Freeport,US,80.58,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
585,Coahuayana,MX,83.97,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
587,Westport,US,81.73,clear sky,41.1415,-73.3579,The Westport Inn
588,Ouargaye,BF,75.22,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
589,Tecoanapa,MX,82.18,overcast clouds,16.5167,-98.75,Hotel Manglares
591,Longhua,CN,76.14,few clouds,23.6137,114.1919,Huadu Hotel
592,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
593,Darnah,LY,77.85,clear sky,32.767,22.6367,فندق الفردوس
595,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
603,Guinope,HN,78.89,overcast clouds,13.8833,-86.9333,Hotel Henry Jordana
606,Ixtapa,MX,82.49,overcast clouds,20.7,-105.2,hotel la terminal
